"Function","Inferred responsibility","Evidence","Confidence"
"FUN_00415864","Extract application directory from module path.","Finds final backslash; copies directory prefix or defaults to empty string.","High"
"FUN_004158aa","Relax security on generated temp files when using the temporary working directory.","Creates security descriptor and calls `SetFileSecurityA` for `minin.dat`, `minout.dat`, and `user.genlib`.","Medium"
"FUN_00415979","Custom destructive tokenizer similar to strtok, using a caller-supplied delimiter-character set and caller-owned cursor pointer.","Takes current cursor pointer and delimiter-character set. Returns token start, replaces matched delimiter with NUL, advances cursor, and returns null when cursor is null. Lower-level parsers FUN_004116b2 and FUN_00411871 use it to split comma/tab-separated PLA/import fields.","High"
"FUN_004159f6","Trivial constructor/initializer stub that returns the object pointer unchanged.","Body is only return param_1. Called from static initialization wrappers for DAT_00452e70 and DAT_00453e28, followed by atexit registration. No fields are modified here.","High"
"FUN_00415a02","Apply predefined application UI/workflow state transitions to the global command-state block, controlling modes such as idle, equation entry, truth-table entry, diagram entry, generated/dirty-result state, and long-running follow-up phases.","Called throughout main command handling as FUN_00415a02(&DAT_00452e70, stateId) after open/import/compare/minimize/diagram actions. Body switches on state IDs and sets many adjacent globals later read by FUN_0040cf1c and window procs to enable/disable commands, drive edit modes, and show wait cursors.","Medium"
"FUN_00415d83","Initialize the compare-functions controller by clearing its remapped second-function truth-table buffer pointer.","Body sets *(param_1 + 0x94) = 0 and returns object pointer. Static initializer calls FUN_00415d83(0x452c50) and registers cleanup. Offset 0x94 is later allocated by FUN_004161ea as copied/remapped truth table for the second selected function.","High"
"FUN_00415d99","Destructor/cleanup for the compare-functions controller allocated remapped truth-table buffer.","Body frees *(param_1 + 0x94) when non-null. Registered by static initializer through atexit. FUN_004161ea allocates this same offset for comparison data.","High"
"FUN_00415dbd","Bind the compare-functions controller to the main window and application instance handles.","Body stores param_2 at offset 0 and param_1 at offset 4. Startup calls it after creating main UI controls. Later compare dialog code uses offset 0 as owner HWND for MessageBox/DialogBoxParam and offset 4 as HINSTANCE.","High"
"FUN_00415dd9","Run compare-functions workflow for two selected one-output functions: validate compatibility, reconcile input ordering, compare truth tables, classify equality/subset/complement/inequality, show comparison result dialog, and flag whether to create/export a result function.","Caller menu command 0xbb selects exactly two functions and passes them here. Body validates same input count and single output via FUN_004160ec, handles different/same-but-reordered names via MessageBox or NAMESORDERDLG, remaps second function via FUN_004161ea, counts shared/complement/function-only rows, assigns result kind, opens COMPRESDLG through FUN_0040af6c, and sets output flag when dialog requests result creation.","High"
"FUN_004160ec","Validate that two selected functions are compatible for comparison or binary operations: both must have exactly one output and the same input/truth-table size.","Called at start of FUN_00415dd9 and FUN_00416a26 before compare/operation work; failure shows message that the two functions must have same number of inputs and only one output. Checks both selected function records at offsets +0xc8 equal 1 and +0xc4 are equal.","High"
"FUN_00416134","Compare input variable names of two selected functions and classify relationship as same order, same set different order, or different names.","Iterates input names at each function record +0x160 in 9-byte slots using strcmp. Returns 0 when all names match in same positions, 1 when matching names exist at different indexes, and 2 when a name is absent. Callers use 1 to open NAMESORDERDLG and 2 to ask whether to use raw truth-table ordering.","High"
"FUN_004161ea","Build an aligned working copy of the second function truth table, optionally remapping rows so its inputs match the first function variable-name order.","Frees prior buffers at this+0x94, copies second function metadata into this+0x10, allocates a truth-table buffer, and either copies the second output table directly or computes bit-position deltas by matching input names before copying rows from reordered indexes. Used by compare and OR/AND/XOR flows after input-name reconciliation.","High"
"FUN_00416425","Dialog procedure for NAMESORDERDLG; returns user choice for cancel, match-by-name ordering, or raw truth-table ordering.","Handles WM_INITDIALOG by returning TRUE. On WM_COMMAND it EndDialogs with 2 for cancel, 0x40b, or 0x40c. Callers interpret 0x40b as remap by variable names and 0x40c as use truth-table order.","High"
"FUN_004164b1","Dialog handler for COMPRESDLG that displays compare-results text and closes either without creating a result or with a create/export-result request.","FUN_0040af6c delegates to it. On WM_INITDIALOG it selects messages such as %s equals %s, subset, complement, or not equal based on result fields, fills controls 0x410..0x417, and on WM_COMMAND returns EndDialog 0 for OK or 1 for command 0x40e.","High"
"FUN_0041681b","Populate a new two-output comparison-result function record from two selected functions after the compare dialog requests result creation.","Called after FUN_00415dd9/COMPRESDLG sets create-result flag, immediately before FUN_0041e0c1 imports DAT_0046c2d0 as a new function. Frees/reallocates output truth-table arrays, copies first function truth table and aligned second table from this+0x94, copies input metadata/names, sets output count to 2, and marks raw-order comparisons with generated input names when needed.","High"
"FUN_00416a26","Perform a binary operation between two selected one-output functions and populate a new result function record for OR, AND, or XOR.","Main dispatcher calls it for menu IDs 0xbc, 0xbd, and 0xc0 matching OR, AND, XOR Functions. It validates compatibility, reconciles input-name ordering, opens NEWFCNNAME, allocates one output truth table in destination record, then combines row values using OR, AND, or XOR/invert logic while preserving don't-care value 2 and counting ones/don't-cares.","High"
"FUN_00416ff2","Dialog procedure for NEWFCNNAME; initializes and returns the user-entered name for a new function-operation result.","FUN_0040af89 delegates to it. On WM_INITDIALOG it stores lParam buffer in DAT_0046c510, limits edit control 0x418 to 8 characters, initializes it, and sets edit text. On OK it reads up to 8 chars into buffer and ends with 1; cancel ends with 2.","High"
"FUN_004170c1","Dialog handler for LOOKUPFCNDLG, the Generate C Lookup Function options dialog; collects lookup packing width and generated C call style options.","FUN_0040afa6 delegates to it and main dispatcher opens LOOKUPFCNDLG before calling FUN_004133f5. Initializes radio groups from option block, enables custom length edit only for custom option, validates 8/16/custom bit lengths against input count via FUN_004175ae, warns for non-byte-aligned custom lengths, stores selected options, and routes help to Creating_lookup.htm.","High"
"FUN_004175ae","Validate that selected unsigned-int lookup packing width can represent all input variables.","Called by FUN_004170c1 for 8-bit, 16-bit, and custom lengths. If input count exceeds selected bit length it shows Insufficient Length message and returns false; otherwise true.","High"
"FUN_004175df","Constructor/reset initializer for a 0xfc-byte gate-diagram object/node record; clears label/name fields, value/state fields, connection arrays, rectangle, and sentinel indexes.","Body writes empty strings to offsets +0x50 and +0x04, clears state fields, zeroes +0x6c..+0x8b, calls SetRect at +0xc8, sets source/input sentinel indexes such as +0x3c/+0x40/+0xf4/+0xf8/+0xe0 and arrays +0x1c/+0xe4 to -3. Used as vector constructor for arrays of diagram objects.","High"
"FUN_0041770d","Resets a gate-diagram object computed trace/value state before reevaluating logic; constants get fixed values and other nodes are marked unknown/uncomputed.","If object type is 10 it sets offset +0x14 to 1; if type is 11 it sets +0x14 to 0; otherwise sets +0x14 and four per-input cached values at +0x2c..+0x38 to -3. Callers invoke it while traversing diagram arrays before recomputing values.","High"
"FUN_00417769","Recursively evaluates a gate-diagram object for trace/simulation, computing boolean output from connected source objects and cached input values.","Recurses through source indexes at +0x1c when cached value +0x14 is -3, handles constants -2/-1 as 0/1, then computes output by object type: output/pass-through, NOT, NAND/NOR-like reductions, AND/OR-like reductions, XOR, and 3-input mux-style logic. Returns -3 when dependency cannot be evaluated.","High"
"FUN_00417a75","Static/default initializer for the truth-table ListView controller state used by DAT_00452b30.","Called from global startup/atexit registration with DAT_00452b30. Sets default counts/options at offsets +0xdc/+0xe0..+0xec and clears +0x94/+0x98, matching fields later used by TTSETUP handling for default input/output counts and list-edit state.","Medium"
"FUN_00417acd","Creates and initializes the two truth-table SysListView32 controls, returning their window handles to main window setup.","Main initialization calls FUN_00417acd(&DAT_00452b30, hwnd, &DAT_00452ab4, &DAT_00452ab8). Body creates two SysListView32 child windows with IDs 0x66 and 0x65, stores them at controller offsets +0x10/+0x14, returns them through out params, inserts initial columns, enables extended list-view styles, and initializes row/column counters.","High"
"FUN_00417c56","Clears the truth-table output/display ListView and frees its backing row cache.","Sends delete-all-items to handle offset +0x10, deletes existing columns according to counter +0x6c, resets +0x6c to 1, frees backing allocation at +0x7c, clears it, and zeroes related state. Called before repopulating truth-table display with FUN_00417d61.","High"
"FUN_00417cde","Clears the truth-table entry/edit ListView and resets its formatting/state cache.","Sends delete-all-items and set-item-count 0 to handle offset +0x14, deletes columns based on +0x68, resets +0x68 to 1, and zeroes state block at +0x9c. FUN_004195f3 calls it before rebuilding truth-table entry grid.","High"
"FUN_00417d61","Populates the truth-table output/display ListView from a selected function model, including input columns, output columns, row cache, item count, and all-true/all-false compression flags.","Calls FUN_00417c56, builds/reallocates row cache +0x7c from function truth-table arrays and counts, detects all-zero/all-one output cases, optionally compresses sparse displays, adds input-variable columns from +0x160, separator column, output columns from +0xd0, autosizes columns, sets ListView item count, and stores display flags.","High"
"FUN_00418362","Dialog procedure implementation for TTSETUP truth-table setup dialog; manages input/output count spinners, editable variable-name ListViews, validation, allocation of truth-table output arrays, and OK/Cancel/help handling.","FUN_0040ad29 delegates TTSETUP messages here. On WM_INITDIALOG it initializes up-down controls, ListViews, default variable names, and existing names during modify mode. On LVN_ENDLABELEDIT it calls FUN_004194bc and reports validation errors. On OK it copies labels, sets counts, computes term count as 1 << inputCount, reallocates output arrays, preserves existing output data when modifying, and ends dialog.","High"
"FUN_004194bc","Validates a truth-table setup variable name for length, uniqueness across input/output lists, and legal identifier syntax.","Called by FUN_00418362 during ListView label-edit completion. Rejects empty or longer-than-8 names with return 1, scans both input and output ListViews using LVM_GETITEMTEXT and returns 2 for duplicates, then delegates syntax validation to FUN_0040daf0. Caller displays nearby variable-name error messages.","High"
"FUN_004195f3","Initializes/populates the truth-table entry ListView after TTSETUP, creating input/output columns, separator columns, row count, and per-output edit lock flags.","Called after TTSETUP succeeds. Clears ListView via FUN_00417cde, inserts columns into handle this+0x14, uses setup/model input names at +0x160 and output names at +0xd0, sets column count at this+0x68, zeroes flags at this+0x9c, sends LVM_SETITEMCOUNT from *param_1, and auto-sizes columns.","High"
"FUN_004198c3","Notification handler for editable truth-table input ListView; supplies virtual cell text, handles column clicks/return/double-click editing, colors disabled output columns, and cycles selected output cells through 0/1/X.","Main WM_NOTIFY dispatch calls it only when hwndFrom == DAT_00452ab8. Handles LVN_GETDISPINFOA by filling text with input bits and output values, LVN_COLUMNCLICK to jump input bit blocks or toggle per-output flags, NM_CUSTOMDRAW to color locked output columns, NM_RETURN to send command 0x8002, and NM_DBLCLK to cycle output array values.","High"
"FUN_00419da2","Notification handler for read-only truth-table output/display ListView; supplies virtual cell text for full or minimized/reduced truth-table rows and custom-draw highlighting for special output rows.","Main WM_NOTIFY dispatch calls it only when hwndFrom == DAT_00452ab4. FUN_00417d61 builds this view row cache and flags; FUN_00419da2 handles LVN_GETDISPINFOA by formatting input bits, row state, and output values from cache/function arrays, and handles NM_CUSTOMDRAW to color particular reduced-table rows.","High"
"FUN_0041a18a","Displays variable-name validation errors for the TTSETUP input/output name lists.","Called from FUN_00418362 after FUN_004194bc validates an edited variable name. Error codes 1, 2, and 3 produce messages about name length, duplicate name, and allowed character/beginning-character rule, then MessageBoxA(...,""Logic Friday"",0).","High"
"FUN_0041a230","Stores the current top visible row of the truth-table output ListView so scroll position can be restored later.","Called before switching into equation/truth-table/selected-function workflows with destination model field. Body sends LVM_GETTOPINDEX (0x1027) to handle this+0x10 and writes result to supplied pointer.","High"
"FUN_0041a255","Restores the truth-table output ListView vertical scroll position from a previously saved top-row index.","Called after reloading/displaying a selected function truth table using model field saved by FUN_0041a230. Body sends LVM_ENSUREVISIBLE, gets item rectangle, computes savedTopIndex * rowHeight, then scrolls with LVM_SCROLL.","High"
"FUN_0041a2d5","Resets the truth-table setup/output-name auto-generation counter stored in the truth-table UI controller.","Body only writes 0 to controller offset +0xe8. Same field is incremented/decremented inside FUN_00418362 while TTSETUP adds/removes output variable rows and calls name-generation helpers; caller invokes it after last function is removed and truth-table UI selection state is cleared.","Medium"
"FUN_0041a2e8","Returns the number of selected rows in the editable truth-table entry ListView.","Body sends LVM_GETSELECTEDCOUNT (0x1032) to handle param_1+0x14. Callers use result to enable/disable MENU_TTIN bulk commands 0xe0/0xe1/0xe2/0xe4 and determine whether truth-table entry has selected rows.","High"
"FUN_0041a306","Tests whether a specific row in the editable truth-table entry ListView is selected.","Body sends LVM_GETITEMSTATE (0x102c) with LVIS_SELECTED mask to handle this+0x14 and returns true only when selected bit is present. Bulk truth-table commands call it before changing row values.","High"
"FUN_0041a338","Returns the per-output-column lock/disable flag for the editable truth-table entry view.","Body reads this + 0x9c + outputIndex*4. FUN_004198c3 toggles these flags on output-column clicks and custom-draws flagged columns; bulk commands skip output columns where this returns nonzero.","High"
"FUN_0041a350","Selects all rows in the editable truth-table entry ListView and moves focus to it.","Sends ListView message 0x102b (LVM_SETITEMSTATE) to controller handle +0x14 with item -1 and LVIS_SELECTED state/stateMask 2, then calls SetFocus on the same handle. Main command 0x4b4 invokes it, and context-menu enablement ties 0x4b4 to truth-table entry mode.","High"
"FUN_0041a38c","Constructor/default initializer for the global print controller, setting printer handles, default print mode, orientations, scale, and margins.","Static initializer calls FUN_0041a38c(0x453ce8). Body clears stored printer handles at +0x10/+0x14, sets initialization/default flags +0xb8/+0xbc, stores portrait/landscape orientation values at +0x48/+0x4c, stores a 0.4 scale factor at +0x50, and initializes two margin rectangles at +0x28/+0x38 to 750 units.","High"
"FUN_0041a41f","Binds the print controller to the application instance and owner main-window handle.","Startup calls FUN_0041a41f(&DAT_00453ce8,DAT_00452914,param_1) after creating the main window children. The function stores param_1 at this+8 and param_2 at this+0; later print/page setup code uses this+8 as HINSTANCE and this+0 as owner HWND.","High"
"FUN_0041a43b","Runs the Page Setup dialog for the current print mode, applying and persisting mode-specific orientation and margin settings.","Called from main command 0xb8 and from PRINTDLG command 0x424. It GlobalLock's hDevMode, forces dmFields orientation, writes either text-print or diagram-print orientation from +0x48/+0x4c, copies mode-specific margins into the PAGESETUPDLGA block, calls PageSetupDlgA, then stores returned hDevMode/hDevNames, orientation, and margins back into the print controller.","High"
"FUN_0041a5b2","Obtains default printer page-setup/device handles and seeds the print controller before the first print operation.","FUN_0041a687 calls it once when print-controller flag +0xbc is 0. It prepares a PAGESETUPDLGA block with owner/instance, mode-specific margins, flags 0x402, calls PageSetupDlgA, and on success stores returned hDevMode/hDevNames into controller slots +0x10/+0x14.","High"
"FUN_0041a687","Top-level print workflow for the selected function: choose text-versus-diagram print mode, show the custom Print dialog, configure printer DC/device caps, and dispatch to text or gate-diagram printing.","Main command 0xb9 calls FUN_0041a687(&DAT_00453ce8, selectedFunction). It sets mode +0xc0 based on whether the function has diagram objects at +0x1650, initializes page setup through FUN_0041a5b2, fills a PRINTDLGA block with title 'Logic Friday: Printing', hook FUN_0040aefe, and template 'PRINTDLG', calls PrintDlgA, resets DC orientation, computes printable area/device caps, then calls FUN_0041ac36 for text/equation printing or FUN_0041b260 for diagram printing.","High"
"FUN_0041ac36","Prints textual function output/equations across one or more pages with headers, page numbers, wrapping, and cancel support.","FUN_0041a687 dispatches here when print mode +0xc0 is 1. The function creates a Courier New printer font, computes rows/columns from margins and text metrics, disables the main window, creates PRNCNCLDLG, installs SetAbortProc(FUN_0040af38), calls StartDocA/StartPage/TextOutA/EndPage, wraps lines through FUN_0041c423 from either function text buffer +0x268 or +0x26c, and returns 0 or packed print error 0x270000.","High"
"FUN_0041b260","Prints the gate-diagram enhanced metafile, tiling it across pages when needed and drawing page headers, borders, and cross-page navigation markers.","FUN_0041a687 dispatches here for diagram print mode. It creates normal and rotated Courier New fonts, computes diagram size from FUN_0043ee30 and printable area, creates clipping regions and page grid counts, opens PRNCNCLDLG with SetAbortProc, loops StartPage/EndPage over horizontal/vertical page tiles, draws 'Logic Friday', 'Page %d of %d', 'To Page %d' markers, and renders the diagram via PlayEnhMetaFile using the function metafile at +0x1688.","High"
"FUN_0041c423","Copies the next printable line segment from a text buffer, wrapping at newline, space, or plus sign within a maximum character width and advancing caller cursor/remaining length.","FUN_0041ac36 calls it for each printed text row with output buffer, current text pointer, remaining length, and maximum columns. It searches for newline within width, otherwise backs up from param_4 to a space or '+', uses lstrcpynA to copy the segment, advances *param_2, subtracts from *param_3, and falls back to hard wrapping at param_4.","High"
"FUN_0041c581","Handler for the custom PRINTDLG print-options dialog; initializes and updates text-versus-diagram print mode and opens Page Setup.","FUN_0040aefe delegates to FUN_0041c581(&DAT_00453ce8, hwnd, msg, command). On WM_INITDIALOG it checks radio controls 0x425/0x426 based on controller mode +0xc0 and disables diagram option 0x425 if selected function has no diagram objects. On WM_COMMAND it updates +0xc0 for OK or radio clicks and calls FUN_0041a43b for command 0x424.","High"
"FUN_0041c6a8","Print-cancel dialog handler; initializes the cancel dialog caption and, on any command, marks the active print job as canceled, re-enables the owner window, destroys the dialog, and clears its handle.","FUN_0040af1b delegates PRNCNCLDLG messages to FUN_0041c6a8(&DAT_00453ce8,...). The function handles WM_INITDIALOG by SetWindowTextA(hwnd,""Logic Friday"") and WM_COMMAND by writing 1 to this+0xb4, EnableWindow(*(HWND*)this,1), DestroyWindow(hwnd), and clearing this+4.","High"
"FUN_0041c712","Printer abort/message-pump helper used by the GDI abort callback; keeps the UI responsive during printing and returns whether printing should continue.","FUN_0040af38 calls FUN_0041c712(0x453ce8) after print paths install it with SetAbortProc. The loop runs while this+0xb4 cancel flag is 0, drains PeekMessageA, routes messages through IsDialogMessageA for the cancel dialog handle at this+4, otherwise TranslateMessage/DispatchMessageA, and returns cancelFlag == 0.","High"
"FUN_0041c785","Construct/initialize a function model object.","Allocates buffers for expressions, truth-table arrays, diagram data, labels such as `""Entered:""`, `""Minimized:""`, default capacities.","High"
"FUN_0041cbd4","Clone a function model object.","Allocates new buffers and copies arrays, strings, truth table, and diagram/metafile-related members from another function.","High"
"FUN_0041d5e1","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041d8f2","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041d91b","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041d944","Function model cleanup/destruction and reset/update helpers.","Nearby code frees truth-table arrays, expression strings, diagram object vectors, and refreshes UI via messages.","Medium"
"FUN_0041def5","Bind an existing function model to the main window and initialize its user.genlib path from the application directory.","FUN_0040b628 calls it after cloning a selected model. The body stores the owner HWND at this+0x16f0, sends WM_COMMAND 0x8007 to that window with this+0x17e4 so the main window returns the base path, then formats this+0x21e8 as ""%s\user.genlib"".","High"
"FUN_0041df4d","Bind/load a function model into the UI context, recording the main window and diagram window handles, initializing the user.genlib path, and clearing diagram/mapping UI state fields.","Called in the file-open path before adding the new function-list item. It stores param_1 at this+0x16f0 and param_2 at this+0x16f4, sends command 0x8007 to obtain the app path into this+0x17e4, formats this+0x21e8 as ""%s\user.genlib"", then clears offsets 0x17dc/0x17e0/0x2318/0x23cc.","High"
"FUN_0041dfe3","Replace a model's equation text with supplied logic-equation text, resize the equation buffer if needed, mark it unminimized/unmapped, return model/text pointers, and regenerate derived equation metadata.","Used after MISII converts typed equation text back into a function. It clears this+0x268 text to an empty string, sets this+0x23c and this+0x244 to 0, returns this through param_2, reallocates this+0x268 based on strlen(param_1), copies/appends param_1 into that buffer, returns it through param_3, then calls FUN_004219f6(this, text).","High"
"FUN_0041e0c1","Generate equation/PLA data from a function model for minimization or testing.","Called in random truth-table/minimize flows before external tool launch; returns app error codes.","Medium"
"FUN_0041e12f","Finalize a minimized function after Espresso output has been parsed: optionally verify the minimized cover against the truth table, mark the model minimized, return model/product pointers, and copy minimization metadata.","Called after FUN_00414f40 parses minout.dat. If DAT_00452e84 is set it calls FUN_00420265(this) and returns that validation error on mismatch. On success it sets this+0x240=1 and this+0x264=7, returns this via param_1, returns this+0x1f0 via param_2, and copies five words from this+0x16d8 to param_4.","High"
"FUN_0041e1a4","Parse factored-equation output from an external minimization/factoring run into the model's equation text buffer and refresh derived equation metadata.","Called in the command-completion path when DAT_00452eb0 is set, with the generated minout.dat path. It opens the file, initializes the equation text with ""Factored:\n"", reads one brace-delimited expression per output, strips braces/tabs/newlines, terminates each expression with ';', grows this+0x268 as needed, appends each expression and newline, closes the file, calls FUN_004219f6, and returns the text pointer via param_1.","High"
"FUN_0041e4dd","Parse gate-mapping output into the function model's gate-diagram object graph, including gate nodes, input/output nodes, wiring/source indexes, fanout metadata, layout/support data, and optional truth-table verification.","Called after the external gate-mapping run completes when DAT_00452eb4 is set. It opens the mapper output path, scans for ""nodes="" or ""already mapped"", allocates a 0xfc-byte diagram-object array, creates input type 8 and output type 9 nodes, parses mapped gate lines beginning with '[' or '{', maps gate mnemonics inv/nan/nor/exo/exn/mux/and/or/one/zer to internal types, resolves inputs by variable names or bracketed node references, calls FUN_00420023 for fanout/source rows, computes layout via FUN_0042038b/FUN_00422a3c/FUN_004231b6, optionally verifies diagram evaluation against truth-table rows with FUN_00417769, and returns packed errors on parse/verification failures.","High"
"FUN_00420023","Parse one mapper fanout/netlist line and assign the fanout level/source group number to referenced diagram nodes, returning how many nodes were assigned.","Called from FUN_0041e4dd while reading the mapper's ""Total number"" fanout section. It scans param_1 for brace-enclosed node names and bracketed node numbers, matches names against diagram objects from this+0x1654 to this+0x1650 or converts bracket indexes relative to this+0x1654, writes param_2 to each matched object's offset +0x3c, stores the count in this+0x1668[param_2], and returns that count.","High"
"FUN_00420265","Validate the minimized product cover against the model's original truth tables, returning 0 on success or a packed row-specific mismatch error.","FUN_0041e12f calls it when DAT_00452e84 verification is enabled. It iterates each truth-table row and output, skips don't-care value 2, tests whether any product term for that output covers the row using product mask/value fields at param_1[0x7e], and returns row+0xc0000 when the cover produces true but the table says 0 or row+0xb0000 when the cover misses a nonzero table value.","High"
"FUN_0042038b","Optimizes a mapped gate diagram by marking redundant gates as aliases/deleted and returning the number of collapsed duplicate gates.","Runs after mapping output is parsed and before gate-layout generation; scans diagram objects from offsets +0x1654..+0x1658 in the +0x3a4 object array, detects double-inverter chains and same-type gates with identical input sets, sets object +0x48 as suppressed and +0x4c as alias target, decrements per-level counts in +0x1668, and repeatedly calls FUN_004207ae until references stabilize.","High"
"FUN_004207ae","Rewrites gate-diagram input references through suppressed/aliased nodes after duplicate-gate elimination.","Called only by FUN_0042038b; for each unsuppressed object it walks each input index through source objects whose +0x48 flag is set, follows +0x4c alias links, restores nodes whose alias is -1, updates +0x1668 level counts, writes the resolved source index back into the input array at +0x1c, and returns whether any alias traversal occurred.","High"
"FUN_0042093b","Regenerates the model's human-readable equation text according to the selected equation format, dispatching to sum-of-products or product-of-sums generation.","Called after truth-table import, minimization, output-format commands, and gate-diagram conversion; checks model field +0x264 for format 7 or 8, calls FUN_004209b2 for format 7 and FUN_00421093 for format 8, and reports ""Bad equation format."" for any other value.","High"
"FUN_004209b2","Builds sum-of-products equation text for each output from truth-table rows or minimized PLA products, then appends it to the equation display/history buffer.","For each output it writes ""<output> = "", emits constants for all-true/all-false cases, otherwise emits product terms joined with "" + "" from either raw truth-table value 1 rows or minimized product arrays at +0x1f8/+0x1fc when +0x23c/+0x240 indicate minimized data, writes semicolon/newline terminators, resizes buffer +0x268, sets flags +0x244/+0x250, and calls FUN_004219f6.","High"
"FUN_00421093","Builds product-of-sums equation text for each output, or publishes a precomputed minimized POS text block when available.","Used by FUN_0042093b when format field +0x264 is 8; when no minimized POS block is present it emits clauses for zero-valued truth-table rows using parenthesized variable sums, handles all-true/all-false outputs, resizes buffer +0x268, and calls FUN_004219f6. If minimized POS is available at +0x270 it prefixes ""Minimized Product of Sums:"" and appends that text instead.","High"
"FUN_00421516","Creates an inverted truth-table staging record for product-of-sums minimization, turning zero rows into one rows while preserving don't-cares.","Called before launching Espresso for POS generation when the selected function is minimized but lacks minimized POS data; copies model metadata into the staging block, reallocates each output table, maps source value 0 to staged value 1, source value 2 to staged don't-care 2, all others to 0, and recomputes true/don't-care counts.","High"
"FUN_0042166a","Converts Espresso results from the inverted POS staging model into a minimized product-of-sums text block stored on the original function model.","Called after the POS Espresso run completes; reads minimized product data from the temporary model pointer passed as param_1, allocates original model buffer +0x270, emits each output as ""<output> = "" followed by parenthesized sum clauses from product masks, appends semicolon/newline terminators, and sets original model flag +0x24c to indicate minimized POS text is available.","High"
"FUN_004219f6","Appends generated equation text into the model's cumulative equation/output text buffer, growing that buffer as needed.","Called after equation generation/import paths including FUN_004209b2, FUN_00421093, FUN_0041dfe3, and factored-output import; compares strlen of existing buffer +0x26c and incoming text, reallocates based on +0x1660 0x7fff-sized chunks when needed, then concatenates with FUN_0043ebe0.","High"
"FUN_00421aa2","Parse external output back into function/gate data.","Called after reading generated files; nearby code scans text lines until `.e`, typical PLA terminator.","Medium"
"FUN_00421b02","Copies a staged truth-table/function record into the main function model, reallocating output arrays and recomputing true/don't-care counts.","FUN_0041e0c1 calls it before regenerating equation text from a staged truth table; it copies term count and metadata/name fields from param_1 into this, reallocates each output truth-table array at +0x84, copies values from staged arrays at +0x21, and updates per-output true counts at +4 and don't-care counts at +0x44.","High"
"FUN_00421c38","Parse external output back into function/gate data.","Called after reading generated files; nearby code scans text lines until `.e`, typical PLA terminator.","Medium"
"FUN_00421d2a","Parse external output back into function/gate data.","Called after reading generated files; nearby code scans text lines until `.e`, typical PLA terminator.","Medium"
"FUN_00421eb4","Expands parsed PLA product terms into full per-output truth-table arrays and releases temporary product-term storage.","Called by PLA parsers FUN_00414024 and FUN_00414592 after FUN_00421c38 allocates product arrays and FUN_00421d2a loads each PLA row; reallocates/clears each output truth table, iterates every truth-table row, marks output value 1 when row bits match a product term mask/value pair, increments true counts, then frees temporary product/output-product arrays at +0x7e/+0x7f and clears product count +0x7d.","High"
"FUN_00422090","Handles the MAPDIALOG gate-selection options dialog and writes the selected gate-library definitions to user.genlib for the mapper.","Dialog thunk FUN_0040ad72 delegates to FUN_00422090. On WM_INITDIALOG it checks controls from the gate table and radio group 0x403..0x405; on OK it reads selected NAND/NOR/AND/OR/XOR/MUX controls, validates that at least one NAND or NOR family is included, concatenates selected GATE definitions into the buffer at this+0x18e8, opens this+0x21e8 for wt, writes the generated genlib text, and EndDialog(1).","High"
"FUN_004225c6","Initializes the built-in gate-library option table used by MAPDIALOG and mapping post-processing, including default selected gates, command IDs, gate names, genlib text, and indexes for NAND/NOR/MUX/XOR variants.","The body seeds this+0x20e8 with constant/inverter GATE definitions, clears the gate table at +0x3a8, sets count 0x11 and default radio 0x403, then fills 0x118-byte entries with command IDs 0x3f4..0x402, names like nand2/nand3/nor2/exor2/mux2, and GATE definition strings; it stores special indexes at +0x22ec..+0x2304 used later by FUN_00422090, FUN_00422a3c, and FUN_004231b6.","High"
"FUN_00422a3c","Normalizes mapped diagram gate arities to match the selected gate library, substituting available 3/4-input NAND/NOR forms and tying unused inputs to constants when lower-arity gates are unavailable.","Called after gate-map parsing and before FUN_004231b6. It checks selection flags at +0x3cc for indexes +0x22ec/+0x22f0/+0x22f4 and +0x22f8/+0x22fc/+0x2300, scans diagram objects in +0x3a4 from +0x1654 to +0x1658, changes NAND/NOR objects with arity 2/3 into arity 3/4 alternatives, fills extra inputs with -1 or -2 constants, updates input counts at +0xbc, and returns 0x230001 if it cannot satisfy the selected library constraints.","High"
"FUN_004231b6","Assigns remaining unmapped/placeholder diagram nodes to concrete NAND or NOR gate types according to selected gate families and balancing preference, adding constant inputs where needed.","Called immediately after FUN_00422a3c in the mapping workflow. It chooses fallback gate family/arity from selected gate-table entries, returns 0x230003 if no usable NAND/NOR arity is available, scans placeholder objects of type 0, uses FUN_004242ed to compute how many gates are needed to fill package groups, assigns object type 1 or 2 and arity 2/3/4, fills extra input slots with -1 or -2, increments +0xbc, and sets +0x2308 when an alternate packing/balancing path is used.","High"
